#{"t_start": 1731840899.3677125, "env_id": null}
r,l,t
6600,6314,20.215663
6600,7444,69.91824
38700,10984,163.482737
29800,7623,176.915458
3600,6481,228.104105
27900,9150,285.008065
36800,14756,391.892773
2000,5906,446.916023
16700,8478,502.960566
3600,6252,552.036167
4700,6249,563.434843
17400,8134,618.162112
4900,7091,671.648487
3700,6124,722.170131
42500,7980,774.828045
4100,8064,828.616997
5400,7122,880.767754
22100,9168,934.686502
4400,7109,987.082748
32000,15172,1092.572216
16400,13138,1155.235946
2400,5315,1204.024165
3800,5957,1255.352874
7500,8092,1308.652782
5700,6100,1319.912158
14900,11330,1419.615032
21100,9305,1474.619164
20200,8439,1529.133849
5300,5956,1578.173644
5000,7230,1629.80797
3600,5899,1641.104749
5300,6748,1693.394007
23900,10914,1752.462388
4700,9050,1844.334817
4800,8535,1899.103437
4300,7510,1953.226208
2700,5628,1963.353812
3200,6806,2015.785634
4500,7132,2067.69543
4200,6314,2116.859609
4400,5530,2126.051752
13100,11750,2224.984625
29000,10011,2282.727949
3300,7583,2334.028468
5000,8459,2387.252747
3000,8426,2440.458459
3400,7445,2494.183932
3400,6538,2545.66166
3500,8750,2599.19301
4600,7637,2651.814051
2000,8329,2704.229584
5100,8267,2756.38287
1800,7913,2807.253594
1600,7395,2857.90695
10800,12714,2917.598092
1500,8272,2973.004787
2800,6817,3023.109118
3200,6219,3072.26988
4100,8430,3126.816372
3900,8144,3177.154981
2800,7864,3228.083985
18000,10568,3283.204985
